code,level,type,localPrefix,name,postCode
63.09.04.2011,4,DESA,Desa,Wayau,71515
63.09.04.2012,4,DESA,Desa,Garunggung,71515
63.09.04.2013,4,DESA,Desa,Kitang,71515
63.09.04.2014,4,DESA,Desa,Sungai Pimping,71512
63.09.04.2015,4,DESA,Desa,Kambitin Raya,71515
63.09.05,3,KECAMATAN,Kecamatan,Haruai,
63.09.05.2001,4,DESA,Desa,Marindi,71572
63.09.05.2002,4,DESA,Desa,Wirang,71572
63.09.05.2003,4,DESA,Desa,Bongkang,71572
63.09.05.2004,4,DESA,Desa,Nawin,71572
63.09.05.2005,4,DESA,Desa,Halong,71572
63.09.05.2007,4,DESA,Desa,Hayup,71572
63.09.05.2011,4,DESA,Desa,Kembang Kuning,71572
63.09.05.2012,4,DESA,Desa,Seradang,71572
63.09.05.2013,4,DESA,Desa,Mahe Pasar,71572
63.09.05.2014,4,DESA,Desa,Lok Batu,71572
63.09.05.2015,4,DESA,Desa,Suput,71572
63.09.05.2018,4,DESA,Desa,Suryan,71572
63.09.05.2021,4,DESA,Desa,Catur Karya,71572
63.09.06,3,KECAMATAN,Kecamatan,Murung Pudak,
63.09.06.1001,4,KELURAHAN,Kelurahan,Belimbing Raya,71571
63.09.06.1002,4,KELURAHAN,Kelurahan,Belimbing,71571
63.09.06.1003,4,KELURAHAN,Kelurahan,Sulingan,71571
63.09.06.1006,4,KELURAHAN,Kelurahan,Mabu'un,71571
63.09.06.1009,4,KELURAHAN,Kelurahan,Pembataan,71571
63.09.06.2004,4,DESA,Desa,Maburai,71571
63.09.06.2005,4,DESA,Desa,Kasiau,71571
63.09.06.2007,4,DESA,Desa,Kapar,71571
63.09.06.2008,4,DESA,Desa,Masukau,71571
63.09.06.2010,4,DESA,Desa,Kasiau Raya,71571
63.09.07,3,KECAMATAN,Kecamatan,Muara Uya,
63.09.07.2001,4,DESA,Desa,Kupang Nunding,71573
63.09.07.2002,4,DESA,Desa,Mangkupum,71573
63.09.07.2003,4,DESA,Desa,Pasar Batu,71573
63.09.07.2004,4,DESA,Desa,Uwie,71573
63.09.07.2005,4,DESA,Desa,Muara Uya,71573
63.09.07.2006,4,DESA,Desa,Lumbang,71573
63.09.07.2007,4,DESA,Desa,Santuun,71573
63.09.07.2008,4,DESA,Desa,Simpung Layung,71573
63.09.07.2009,4,DESA,Desa,Binjai,71573
63.09.07.2010,4,DESA,Desa,Palapi,71573
