code,level,type,localPrefix,name
12.21.06.2010,4,DESA,Desa,Paringgonan Julu
12.21.06.2011,4,DESA,Desa,Paran Batu
12.21.06.2012,4,DESA,Desa,Sibual Buali
12.21.06.2013,4,DESA,Desa,Tanjung
12.21.06.2014,4,DESA,Desa,Siraisan
12.21.06.2015,4,DESA,Desa,Aek Haruaya
12.21.07,3,KECAMATAN,Kecamatan,Barumun
12.21.07.1001,4,KELURAHAN,Kelurahan,Pasar Sibuhuan
12.21.07.2002,4,DESA,Desa,Sibuhuan Julu
12.21.07.2003,4,DESA,Desa,Bangun Raya
12.21.07.2004,4,DESA,Desa,Purba Tua
12.21.07.2005,4,DESA,Desa,Handis Julu
12.21.07.2006,4,DESA,Desa,Sialambue
12.21.07.2007,4,DESA,Desa,Sibuhuan Jae
12.21.07.2008,4,DESA,Desa,Janjilobi
12.21.07.2009,4,DESA,Desa,Hasahatan Jae
12.21.07.2010,4,DESA,Desa,Siolip
12.21.07.2011,4,DESA,Desa,Saba Rimba
12.21.07.2012,4,DESA,Desa,Binabo Julu
12.21.07.2013,4,DESA,Desa,Binabo Jae
12.21.07.2014,4,DESA,Desa,Limbong
12.21.07.2015,4,DESA,Desa,Simaninggir
12.21.07.2016,4,DESA,Desa,Hasahatan Julu
12.21.07.2017,4,DESA,Desa,Sitarolo Julu
12.21.07.2018,4,DESA,Desa,Mompang
12.21.07.2019,4,DESA,Desa,Sigorbus Jae
12.21.07.2020,4,DESA,Desa,Sabahotang
12.21.07.2021,4,DESA,Desa,Tanjung Durian
12.21.07.2022,4,DESA,Desa,Tanjung Botung
12.21.07.2023,4,DESA,Desa,Tanobato
12.21.07.2024,4,DESA,Desa,Hutarimbaru
12.21.07.2025,4,DESA,Desa,Sayur Matua
12.21.07.2037,4,DESA,Desa,Bulusonik
12.21.07.2038,4,DESA,Desa,Arsesimatorkis
12.21.07.2039,4,DESA,Desa,Pancaukan
12.21.07.2040,4,DESA,Desa,Pagaran Baringin
12.21.07.2041,4,DESA,Desa,Sigorbus Julu
12.21.08,3,KECAMATAN,Kecamatan,Sosa
12.21.08.2001,4,DESA,Desa,Siborna Bunut
12.21.08.2002,4,DESA,Desa,Hurung Jilok
12.21.08.2003,4,DESA,Desa,Pasir Jae
12.21.08.2004,4,DESA,Desa,Harang Julu
12.21.08.2005,4,DESA,Desa,Parapat
12.21.08.2006,4,DESA,Desa,Pasar Ujung Batu
12.21.08.2007,4,DESA,Desa,Hapung
12.21.08.2008,4,DESA,Desa,Plasma Mondang
12.21.08.2009,4,DESA,Desa,Mandian
12.21.08.2010,4,DESA,Desa,Bonan Dolok
12.21.08.2011,4,DESA,Desa,Hutaimbaru
12.21.08.2012,4,DESA,Desa,Mondang
12.21.08.2013,4,DESA,Desa,Sisoma
12.21.08.2014,4,DESA,Desa,Aek Tinga
12.21.08.2015,4,DESA,Desa,Gunung Baringin
12.21.08.2016,4,DESA,Desa,Simarancar
12.21.08.2017,4,DESA,Desa,Huta Raja Lamo
12.21.08.2018,4,DESA,Desa,Tanjung Botung Sosa Jae
12.21.08.2019,4,DESA,Desa,Ujung Batu
12.21.08.2020,4,DESA,Desa,Janjiraja
12.21.08.2021,4,DESA,Desa,Rao-Rao Dolok
12.21.08.2022,4,DESA,Desa,Parau Sorat
12.21.08.2023,4,DESA,Desa,Aer Bale
12.21.08.2024,4,DESA,Desa,Tanjung Bale
12.21.08.2025,4,DESA,Desa,Ampolu
12.21.08.2026,4,DESA,Desa,Mananti Sosa Julu
12.21.08.2027,4,DESA,Desa,Siginduang
12.21.08.2028,4,DESA,Desa,Ramba
12.21.08.2029,4,DESA,Desa,Roburan
12.21.08.2030,4,DESA,Desa,Tanjung
12.21.08.2031,4,DESA,Desa,Sungai Jior
12.21.08.2032,4,DESA,Desa,Lumban Huayan
12.21.08.2033,4,DESA,Desa,Pasir Julu
12.21.08.2034,4,DESA,Desa,Hapung Torop
12.21.08.2035,4,DESA,Desa,Batu Gajah
12.21.08.2036,4,DESA,Desa,Harang Jae
12.21.08.2037,4,DESA,Desa,Horuon
12.21.08.2038,4,DESA,Desa,Gunung Tua
12.21.08.2039,4,DESA,Desa,Handio
12.21.09,3,KECAMATAN,Kecamatan,Batang Lubu Sutam
12.21.09.2001,4,DESA,Desa,Tanjung Baru
12.21.09.2002,4,DESA,Desa,Tamiang
12.21.09.2003,4,DESA,Desa,Tanjung Barani
12.21.09.2004,4,DESA,Desa,Manggis
12.21.09.2005,4,DESA,Desa,Pagaran Tayas
12.21.09.2006,4,DESA,Desa,Hatongga
12.21.09.2007,4,DESA,Desa,Botung
12.21.09.2008,4,DESA,Desa,Siadam
12.21.09.2009,4,DESA,Desa,Siojo
12.21.09.2010,4,DESA,Desa,Pagaran Manggis
12.21.09.2011,4,DESA,Desa,Muara Malinto Lama
12.21.09.2012,4,DESA,Desa,Hutabaru
12.21.09.2013,4,DESA,Desa,Huta Nopan
12.21.09.2014,4,DESA,Desa,Tandolan
12.21.09.2015,4,DESA,Desa,Tangga Batu
12.21.09.2016,4,DESA,Desa,Pagaran Dolok Pinarik
12.21.09.2017,4,DESA,Desa,Muara Malinto Baru
12.21.09.2018,4,DESA,Desa,Aek Sorik
12.21.09.2019,4,DESA,Desa,Tanjung Botung Pinarik
12.21.09.2020,4,DESA,Desa,Pinarik
12.21.09.2021,4,DESA,Desa,Rombayan
12.21.09.2022,4,DESA,Desa,Salambue
12.21.09.2023,4,DESA,Desa,Papaso
12.21.09.2024,4,DESA,Desa,Muara Tige
12.21.09.2025,4,DESA,Desa,Sibodak Papaso
12.21.09.2026,4,DESA,Desa,Pagaran Baringin
12.21.09.2027,4,DESA,Desa,Gunung Inten
12.21.09.2028,4,DESA,Desa,Gunung Manaon
12.21.10,3,KECAMATAN,Kecamatan,Barumun Selatan
12.21.10.2001,4,DESA,Desa,Batang Bulu Lama
12.21.10.2002,4,DESA,Desa,Pagur Satio
12.21.10.2003,4,DESA,Desa,Batang Bulu Baru
12.21.10.2004,4,DESA,Desa,Gunung Intan
12.21.10.2005,4,DESA,Desa,Tanjung Purba Tua
12.21.10.2006,4,DESA,Desa,Banua Tonga
12.21.10.2007,4,DESA,Desa,Gunung Barani
12.21.10.2008,4,DESA,Desa,Tanjung Baringin Simarulak
12.21.10.2009,4,DESA,Desa,Sayur Mahincat
12.21.10.2010,4,DESA,Desa,Sidomulio
12.21.10.2011,4,DESA,Desa,Panarian
12.21.11,3,KECAMATAN,Kecamatan,Aek Nabara Barumun
12.21.11.2001,4,DESA,Desa,Aek Nabara Tonga
12.21.11.2002,4,DESA,Desa,Aek Nabara Jae
12.21.11.2003,4,DESA,Desa,Padang Garugur Jae
12.21.11.2004,4,DESA,Desa,Huta Bargot
12.21.11.2005,4,DESA,Desa,Janji Maria
12.21.11.2006,4,DESA,Desa,Padang Garugur Julu
12.21.11.2007,4,DESA,Desa,Sidokan
12.21.11.2008,4,DESA,Desa,Tobing
12.21.11.2009,4,DESA,Desa,Hadungdung Aek Rampah
12.21.11.2010,4,DESA,Desa,Tobing Tinggi
12.21.11.2011,4,DESA,Desa,Sipagabu
12.21.11.2012,4,DESA,Desa,Tanjung
12.21.11.2013,4,DESA,Desa,Paran Tonga
12.21.11.2014,4,DESA,Desa,Paran Julu
12.21.11.2015,4,DESA,Desa,Hadungdung Pintu Padang
12.21.11.2016,4,DESA,Desa,Tanjung Rokan
12.21.11.2017,4,DESA,Desa,Aek Bonban
12.21.11.2018,4,DESA,Desa,Marenu
12.21.11.2019,4,DESA,Desa,Aek Nabara Julu
12.21.11.2020,4,DESA,Desa,Padang Garugur Tonga
12.21.11.2021,4,DESA,Desa,Bangkuang
12.21.11.2022,4,DESA,Desa,Paya Bahung
12.21.11.2023,4,DESA,Desa,Aek Buaton
12.21.11.2024,4,DESA,Desa,Sayur Matua
12.21.11.2025,4,DESA,Desa,Sayur Mahincat
12.21.12,3,KECAMATAN,Kecamatan,Sihapas Barumun
12.21.12.2001,4,DESA,Desa,Lubuk Gonting
12.21.12.2002,4,DESA,Desa,Padang Hasior Dolok
12.21.12.2003,4,DESA,Desa,Padang Hasior Lombang
12.21.12.2004,4,DESA,Desa,Sitada-Tada
12.21.12.2005,4,DESA,Desa,Paran Dolok
12.21.12.2006,4,DESA,Desa,Ujung Gading
12.21.12.2007,4,DESA,Desa,Simaninggir
12.21.12.2008,4,DESA,Desa,Tanjung Morang
12.21.12.2009,4,DESA,Desa,Silenjeng
12.21.12.2010,4,DESA,Desa,Aek Goti
12.21.12.2011,4,DESA,Desa,Gulangan
12.21.12.2012,4,DESA,Desa,Ujung Padang
12.21.12.2013,4,DESA,Desa,Balangka
12.22,2,KABUPATEN,Kabupaten,Labuhanbatu Selatan
12.22.01,3,KECAMATAN,Kecamatan,Kotapinang
12.22.01.1001,4,KELURAHAN,Kelurahan,Kotapinang
12.22.01.2002,4,DESA,Desa,Simatahari
12.22.01.2003,4,DESA,Desa,Mampang
12.22.01.2004,4,DESA,Desa,Pasir Tuntung
12.22.01.2005,4,DESA,Desa,Sisumut
12.22.01.2006,4,DESA,Desa,Hadundung
12.22.01.2007,4,DESA,Desa,Sosopan
12.22.01.2008,4,DESA,Desa,Perkebunan Nomark
12.22.01.2009,4,DESA,Desa,Perkebunan Nagodang
12.22.01.2010,4,DESA,Desa,Perkebunan Sei Rumbia
12.22.02,3,KECAMATAN,Kecamatan,Kampung Rakyat
12.22.02.2001,4,DESA,Desa,Perkebunan Perlabian
12.22.02.2002,4,DESA,Desa,Perkebunan Teluk Panji
12.22.02.2003,4,DESA,Desa,Perkebunan Tolan I/II
12.22.02.2004,4,DESA,Desa,Perkebunan Batang Saponggol
12.22.02.2005,4,DESA,Desa,Perkebunan Tolan
12.22.02.2006,4,DESA,Desa,Air Merah
