code	level	localPrefix	name	postCode
11.01.13.2009	4	Gampong	Pulo Air	23772
11.01.13.2010	4	Gampong	Lawe Melang	23772
11.01.13.2011	4	Gampong	Mersak	23772
11.01.13.2012	4	Gampong	Simpang Dua	23772
11.01.13.2013	4	Gampong	Simpang Tiga	23772
11.01.14	3	Kecamatan	Kluet Timur	
11.01.14.2001	4	Gampong	Paya Dapur	23772
11.01.14.2002	4	Gampong	Sapik	23772
11.01.14.2003	4	Gampong	Alai	23772
11.01.14.2004	4	Gampong	Durian Kawan	23772
11.01.14.2005	4	Gampong	Lawe Sawah	23772
11.01.14.2006	4	Gampong	Lawe Buluh Didi	23772
11.01.14.2007	4	Gampong	Pucuk Lembang	23772
11.01.14.2008	4	Gampong	Paya Laba	23772
11.01.14.2009	4	Gampong	Lawe Cimanok	23772
11.01.15	3	Kecamatan	Bakongan Timur	
11.01.15.2001	4	Gampong	Pasie Seubadeh	23773
11.01.15.2002	4	Gampong	Ladang Rimba	23773
11.01.15.2003	4	Gampong	Ujong Pulo Rayeuk	23773
11.01.15.2004	4	Gampong	Sawah Tingkeum	23773
11.01.15.2005	4	Gampong	Simpang	23773
11.01.15.2006	4	Gampong	Ujong Pulo Cut	23773
11.01.15.2008	4	Gampong	Seuleukat	23773
11.01.16	3	Kecamatan	Trumon Timur	
11.01.16.2005	4	Gampong	Pinto Rimba	23774
11.01.16.2006	4	Gampong	Krueng Luas	23776
11.01.16.2007	4	Gampong	Jambo Dalem	23774
11.01.16.2008	4	Gampong	Kapa Sesak	23774
11.01.16.2009	4	Gampong	Seuneubok Punto	23774
11.01.16.2010	4	Gampong	Seuneubok Pusaka	23774
11.01.16.2011	4	Gampong	Alur Bujok	23774
11.01.16.2012	4	Gampong	Titi Poben	23774
11.01.17	3	Kecamatan	Kota Bahagia	
11.01.17.2001	4	Gampong	Buket Gadeng	23773
11.01.17.2002	4	Gampong	Rambong	23773
11.01.17.2003	4	Gampong	Seuneubok Keuranji	23773
11.01.17.2004	4	Gampong	Seuneubok Alur Buloh	23773
11.01.17.2005	4	Gampong	Ujong Tanoh	23773
11.01.17.2006	4	Gampong	Ujong Gunong Cut	23773
11.01.17.2007	4	Gampong	Ujong Gunung Rayeuk	23773
11.01.17.2008	4	Gampong	Beutong	23773
11.01.17.2009	4	Gampong	Jambo Keupok	23773
11.01.17.2010	4	Gampong	Alurduamas	23773
11.01.18	3	Kecamatan	Trumon Tengah	
11.01.18.2001	4	Gampong	Ladang Rimba	23774
11.01.18.2002	4	Gampong	Gunong Kapho	23774
11.01.18.2003	4	Gampong	Kampong Teungoh	23774
11.01.18.2004	4	Gampong	Krueng Batee	23774
11.01.18.2005	4	Gampong	Pulo Paya	23774
11.01.18.2006	4	Gampong	Jambo Papeun	23774
11.01.18.2007	4	Gampong	Cot Bayu	23774
11.01.18.2008	4	Gampong	Naca	23774
11.01.18.2009	4	Gampong	Ie Jeureuneh	23774
11.01.18.2010	4	Gampong	Lhok Raya	23774
11.02	2	Kabupaten	Aceh Tenggara	
11.02.01	3	Kecamatan	Lawe Alas	
11.02.01.2001	4	Gampong	Engkeran	24661
11.02.01.2002	4	Gampong	Rumah Kampung	24661
11.02.01.2004	4	Gampong	Pasir Bangun	24661
11.02.01.2006	4	Gampong	Kubu	24661
11.02.01.2007	4	Gampong	Lawe Kongker	24661
11.02.01.2008	4	Gampong	Kuta Cingkam II	24661
11.02.01.2009	4	Gampong	Muara Baru	24661
11.02.01.2011	4	Gampong	Kuta Batu I	24661
11.02.01.2012	4	Gampong	Kuta Cingkam I	24661
11.02.01.2013	4	Gampong	Kuta Batu II	24661
11.02.01.2014	4	Gampong	Lawe Sempilang	24661
11.02.01.2015	4	Gampong	Prapat Batu Nunggul	24661
11.02.01.2016	4	Gampong	Pulo Sepang	24661
11.02.01.2017	4	Gampong	Rih Mbelang	24661
11.02.01.2018	4	Gampong	Kute Batu Baru	24661
11.02.01.2019	4	Gampong	Darul Amin	24661
11.02.01.2020	4	Gampong	Lawe Lubang Indah	24661
11.02.01.2021	4	Gampong	Batu Hamparan	24661
