2006	Piriang Tapiko
2007	Peburru
2008	Taloba
2009	Pollewani
2010	Arabua
2011	Besoangin Utara
2012	Poda
2013	Taramanu Tua
:06	Binuang
2001	Tonyaman
2002	Kuajang
2003	Paku
2004	Mirring
1005	Amassangan
2006	Batetangnga
2007	Mammi
2008	Kaleok
2009	Amola
2010	Rea
:07	Tapango
1001	Pelitakan
2002	Tapango
2003	Rappang
2004	Dakka
2005	Batu
2006	Riso
2007	Palatta
2008	Tapango Barat
2009	Kurrak
2010	Bussu
2011	Tuttula
2012	Jambu Malea
2013	Kalimbua
2014	Banato Rejo
:08	Mapilli
1001	Mapili
2002	Ugibaru
2003	Rumpa
2005	Kurma
2007	Buku
2009	Bonne Bonne
2011	Beroangin
2015	Segerang
2016	Bonra
2017	Sattoko
2018	Rappang Barat
2019	Landi Kanusuang
:09	Matangnga
1001	Matangnga
2002	Lilli
2003	Rangoan
2004	Tapua
2005	Mambu Tapua
2006	Ba'ba Tapua
2007	Katimbang
:10	Luyo
2001	Mambu
2002	Tenggelang
2003	Baru
1004	Batupanga
2005	Pussui
2006	Mapili Barat
2007	Sambali Wali
2008	Batupanga Daala
2009	Luyo
2010	Pussui Barat
2011	Puccadi
:11	Limboro
1001	Limboro
2002	Lembang Lembang
2003	Tandasura
2004	Samasundu
2005	Napo
2006	Todang Todang
2007	Pendulangan
2008	Renggeang
2009	Salarri
2010	Tangan Baru
2011	Palece
:12	Balanipa
2001	Tammajarra
1002	Balanipa
2003	Tamanggalle
2004	Mosso
2005	Galung Tuluk
2006	Sabang Subik
2007	Pambusuang
2008	Bala
2009	Lambanan
2010	Lego
2011	Pallis
:13	Anreapi
1001	Anreapi
2002	Duampanua
2003	Kelapa Dua
2004	Papandangan
2005	Kunyi
:14	Matakali
1001	Matakali
2002	Petampanua
2003	Barumbung
2004	Pasiang
2005	Tonrolima
2006	Indomakkombong
2007	Bunga-Bunga
:15	Allu
2002	Mombi
2003	Kalumammang
2004	Pao-pao
2005	Puppu Uring
2006	Saragian
2007	Sayoang
2008	Alu
1009	Petoosang
:16	Bulo
2001	Bulo
2002	Pulliwa
2003	Patambanua
2004	Karombang
2005	Daala Timur
2006	Lenggo
2007	Sabura
2008	Sepporraki
2009	Ihing
.05	Majene
:01	Banggae
1001	Banggae
1003	Baru
1007	Pangali Ali
1009	Totoli
1010	Rangas
2011	Palipi Soreang
2012	Pamboborang
1013	Galung
:02	Pamboang
1001	Lalampanua
1002	Sirindu
2003	Adolang
2004	Bababulo
2005	Bonde
2006	Betteng
2007	Simbang
2008	Bonde Utara
2009	Bababulo Utara
2010	Buttu Pamboang
2011	Banua Adolang
2012	Adolang Dhua
2013	Tinambung
2014	Pesuloang
2015	Balombong
:03	Sendana
1001	Mosso
1002	Mosso Dhua
2004	Totolisi Sendana
2007	Tallubanua
2015	Lalatedzong
2016	Binanga
2017	Puttada
2018	Paminggalan
2019	Leppangang
2020	Pundau
2021	Sendana
2022	Banua Sendana
2023	Tallubanua Utara
2024	Limboro Rambu-Rambu
2025	Limbua
2026	Bukit Samang
:04	Malunda
1001	Malunda
2002	Bambangan
2004	Lombang
2005	Lombong
2006	Mekkatta
2010	Maliaya
2011	Lombang Timur
2012	Salutahongan
2013	Lombong Timur
2014	Mekkatta Selatan
1015	Lamungang Batu
2016	Kayuangin
:05	Ulumanda
2001	Kabiraan
2002	Sambabo
2003	Tandeallo
2004	Ulumanda
2005	Salutambung
2006	Popenga
2007	Sulai
2008	Panggalo
:06	Tammerodo Sendana
2001	Seppong
2002	Tammerodo
2003	Ulidang
2004	Tallambalao
2005	Tammerodo Utara
2006	Manyamba
2007	Awo
:07	Tubo Sendana
2001	Onang
2002	Tubo
2003	Onang Utara
2004	Tubo Selatan
2005	Bonde bonde
2006	Tubo Tengah
2007	Tubo Poang
:08	Banggae Timur
1001	Baurung
1002	Baruga
1003	Baruga Dhua
1004	Labuang
1005	Tande
1006	Lembang
1007	Labuang Utara
1008	Tande Timur
2009	Buttu Baruga
.06	Mamuju Tengah
:01	Tobadak
2001	Mahahe
2002	Salobaja
2003	Tobadak
2004	Palongaan
2005	Batu Parigi
2006	Bambadaru
2007	Sejati
2008	Saloadak
:02	Pangale
2001	Polo Pangale
2002	Pangale
2003	Sartanamaju
2004	Polo Lereng
2005	Kuo
2006	Polo Camba
2007	Lamba-lamba
2008	Kombiling
2009	Lemo-Lemo
:03	Budong-Budong
2001	Babana
2002	Lumu
2003	Pontanakayang
2004	Salogatta
2005	Kire
2006	Tinali
2007	Salumanurung
2008	Pasapa
2009	Bojo
2010	Barakkang
2011	Lembah Hada
:04	Topoyo
2001	Budong-Budong
2002	Topoyo
2003	Tumbu
2004	Kabubu
2005	Waeputeh
2006	Tangkou
2007	Tabolang
2008	Paraili
2009	Salupangkang
2010	Salupangkang IV
2011	Tappilina
2012	Bambamanurung
2013	Salulekbo
2014	Pangalloang
2015	Sinabatta
:05	Karossa
2001	Karossa
2002	Tasokko
2003	Lara
2004	Kadaila
2005	Kayu Calla
2006	Lembah Hopo
2007	Benggaulu
2008	Suka Maju
2009	Kambunong
2010	Salubiro
2011	Sanjango
