:05	Bulang
1001	Bulang Lintang
1002	Pulau Buluh
1003	Temoyong
1004	Batu Legong
1005	Pantai Gelam
1006	Pulau Setokok
:06	Lubuk Baja
1001	Kampung Pelita
1003	Lubuk Baja Kota
1004	Batu Selicin
1005	Tanjung Uma
1006	Baloi Indah
:07	Sei Beduk
1001	Muka Kuning
1002	Duriangkang
1003	Mangsang
1004	Tanjung Piayu
:08	Galang
1001	Sijantung
1002	Karas
1003	Galang Baru
1004	Sembulang
1005	Rempang Cate
1006	Subang Mas
1007	Pulau Abang
1008	Air Raja
:09	Bengkong
1001	Bengkong Indah
1002	Bengkong Laut
1003	Sadai
1004	Tanjung Buntung
:10	Batam Kota
1001	Baloi Permai
1002	Taman Baloi
1003	Teluk Tering
1004	Belian
1005	Sukajadi
1006	Sungai Panas
:11	Sagulung
1001	Tembesi
1002	Sungai Binti
1003	Sungai Lekop
1004	Sagulung Kota
1005	Sungai Langkai
1006	Sungai Pelunggut
:12	Batu Aji
1001	Tanjung Uncang
1002	Buliang
1003	Kibing
1004	Bukit Tempayan
.72	Tanjung Pinang
:01	Tanjung Pinang Barat
1001	Tanjung Pinang Barat
1002	Kemboja
1003	Kampung Baru
1004	Bukit Cermin
:02	Tanjung Pinang Timur
1001	Melayu Kota Piring
1002	Kampung Bulang
1003	Air Raja
1004	Batu IX
1005	Pinang Kencana
:03	Tanjung Pinang Kota
1001	Tanjung Pinang Kota
1003	Senggarang
1004	Penyengat
1005	Kampung Bugis
:04	Bukit Bestari
1001	Tanjung Pinang Timur
1002	Dompak
1003	Tanjung Ayun Sakti
1004	Sei Jang
1005	Tanjung Unggat
