53	Nusa Tenggara Timur
2016	Kotagana
2017	Lokalaba
2018	Lajawajo
2019	Keliwatulewa
2020	Wololelu
2021	Selalejo Timur
:05	Wolowae
2001	Tendatoto
2002	Totomala
2003	Tendakinde
2004	Anakoli
2005	Natatoto
:06	Keo Tengah
2001	Witurombaua
2002	Lewangera
2003	Wajo
2004	Kotowuji Timur
2005	Kotowuji Barat
2006	Mbaenuamuri
2007	Udiworowatu
2008	Kotodirumali
2009	Pautola
2010	Ladolima
2011	Keli
2012	Ngera
2013	Ladolima Timur
2014	Ladolima Utara
2015	Wajo Timur
2016	Paumali
:07	Aesesa Selatan
2001	Rendubutowe
2002	Tengatiba
2003	Langedhawe
2004	Renduteno
2005	Renduwawo
2006	Wajomara
2007	Rendut Tutubhada
.17	Sumba Tengah
:01	Katiku Tana
2001	Makata Keri
2003	Kabela Wuntu
2004	Mata Woga
2019	Umbu Riri
2023	Anakalang
2024	Dewa Jara
2025	Mata Redi
:02	Umbu Ratu Nggay Barat
2001	Wangga Waiyengu
2002	Praimadeta
2003	Pondok
2004	Maderi
2005	Anajiaka
2006	Wairasa
2007	Umbu Kawolu
2008	Umbu Mamijuk
2009	Umbu Pabal
2010	Umbu Langang
2011	Sambali Loku
2021	Umbu Pabal Selatan
2022	Umbu Jodu
2023	Anapalu
2024	Daha Elu
2025	Dewa Tana
2026	Holur Kambata
2027	Mata Waikajawi
:03	Mamboro
2001	Wendewa Timur
2002	Wendewa Selatan
2003	Wendewa Utara
2004	Wendewa Barat
2005	Cendana
2006	Wee Luri
2007	Ole Ate
2008	Manu Wolu
2009	Watu Asa
2010	Bondo Sulla
2011	Susu Wendewa
2012	Ole Dewa
2013	Cendana Barat
:04	Umbu Ratu Nggay
2001	Mbilur Pangadu
2002	Soru
2003	Praikoruku Jangga
2004	Bolu Bokat
2005	Mara Desa
2006	Weluk Praimemang
2007	Lenang
2008	Tana Mbanas
2009	Padira Tana
2010	Ngadu Bolu
2011	Bolu Bokat Utara
2012	Maradesa Timur
2013	Maradesa Selatan
2014	Tana Mbanas Selatan
2015	Tana Mbanas Barat
2016	Ngadu Olu
2017	Lenang Selatan
2018	Bolubokat Barat
:05	Katiku Tana Selatan
2001	Konda Maloba
2002	Tana Modu
2003	Malinjak
2004	Wailawa
2005	Dameka
2006	Waimanu
2007	Manurara
2008	Elu
2009	Oka Wacu
.18	Sumba Barat Daya
:01	Loura
2001	Bondo Boghila
2002	Lete Konda
2003	Karuni
2004	Totok
2009	Rama Dana
2010	Wee Mananda
2013	Pogo Tena
2014	Payola Umbu
2015	Wee Kambala
2016	Loko Kalada
2017	Lete Konda Selatan
:02	Wewewa Utara
2001	Mali Mada
2002	Wano Talla
2003	Wee Paboba
2004	Mata Loko
2005	Wee Namba
2006	Puu Potto
2007	Bodo Ponda
2008	Reda Wano
2009	Odi Paurata
2010	Pandua Tana
2011	Djela Manu
2012	Mawo Maliti
:03	Wewewa Timur
2001	Kalembu Ndara Mane
2002	Tema Tana
2005	Mareda Kalada
2006	Pada Eweta
2012	Wee Limbu
2013	Lete Kamouna
2014	Mata Pyawu
2015	Wee Lima
2018	Dikira
2020	Dangga Mangu
2021	Mainda Ole
2022	Kadi Wano
2023	Nyura Lele
2024	Lele Maya
2025	Maliti Dari
2026	Mawo Dana
2027	Dede Pada
2028	Mata Wee Lima
2029	Kadi Wone
:04	Wewewa Barat
2001	Waimangura
2002	Kalembu Weri
2003	Wali Ate
2004	Kabali Dana
2005	Wee Kombaka
2006	Marokota
2007	Watu Labara
2008	Kalimbu Tillu
2011	Menne Ate
2012	Reda Pada
2013	Raba Ege
2015	Kalaki Kambe
2016	Kalembu Kanaika
2017	Laga Lete
2018	Wee Kura
2019	Lua Koba
2020	Tawo Rara
2021	Sangu Ate
2022	Lolo Ole
2023	Pero
:05	Wewewa Selatan
2001	Buru Deilo
2002	Weri Lolo
2003	Buru Kaghu
2004	Denduka
2005	Bondo Bela
2006	Delo
2007	Tena Teke
2008	Bondo Ukka
2009	Umbu Wangu
2010	Milla Ate
2011	Rita Baru
2012	Mandungo
2013	Wee Wulla
2014	Wee Baghe
:06	Kodi Bangedo
2001	Dinjo
2002	Lete Loko
2003	Walla Ndimu
2006	Waikadada
2010	Rada Loko
2011	Mata Kapore
2012	Umbu Ngedo
2014	Waimakaha
2015	Waimaringi
2016	Tana Mete
2017	Waipaddi
2018	Manu Toghi
2019	Karang Indah
2020	Rada Malando
2021	Waikaninyo
2022	Ana Goka
2023	Delu Depa
2024	Mere Kehe
2025	Bondo Balla
2026	Maliti Bondo Ate
2027	Ana Lewe
:07	Kodi
2001	Bondo Kodi
2002	Ate Dalo
2003	Hamonggo Lele
2004	Homba Rande
2005	Pero Batang
2006	Wura Homba
2007	Koki
2008	Kapaka Madeta
2009	Kawango Hari
2010	Onggol
2011	Mali lha
2012	Watu Wona
2013	Tanjung Karoso
2014	Pero Konda
2015	Homba Rica
2016	Ana Kaka
2017	Ole Ate
2018	Kadoki Horo
2019	Ana Engge
:08	Kodi Utara
2001	Hoha Wungo
2002	Homba Karipit
2003	Wailabubur
2004	Kori
2005	Kalena Rongo
2006	Waiholo
2007	Noha
2008	Mangganipi
2009	Kendu Wela
2010	Bila Cenge
2011	Bukambero
2013	Homba Pare
2014	Magho Linyo
2015	Wee Wella
2016	Kadu Eta
2017	Kadaghu Tana
2018	Hameli Ate
2019	Waitaru
2020	Nangga Mutu
2021	Limbu Kembe
2022	Moro Manduyo
:09	Kota Tambolaka
2001	Rada Mata
2002	Kalena Wano
1003	Langga Lero
1004	Waitabula
2005	Wee Londa
2006	Wee Pangali
2007	Kadi Pada
2008	Watu Kawula
2009	Wee Rena
2010	Kalembu Kaha
:10	Wewewa Tengah
2001	Kanelu
2002	Tanggaba
2003	Wee Kokora
2004	Wee Rame
2005	Lombu
2006	Eka Pata
2007	Bolora
2008	Omba Rade
2009	Kalingara
2010	Wee Patando
2011	Mereda Wuni
2012	Mata Wee Karoro
2013	Gollu Sapi
2014	Mata Lombu
2015	Kadi Roma
2016	Bondo Delo
2017	Lete Wungana
2018	Limbu Watu
2019	Kiku Booko
2020	Tarra Mata
:11	Kodi Balaghar
2001	Wailangira
2002	Kahale
2003	Waikarara
2004	Panenggo Ede
2005	Waiha
2006	Wainyapu
2007	Loko Tali
2008	Waipakolo
.19	Manggarai Timur
:01	Borong
2001	Nanga Labang
2004	Gurung Liwut
2005	Benteng Riwu
2006	Ngampang Mas
2009	Rana Masak
2010	Benteng Raja
2014	Golo Lalong
2017	Golo Kantar
2018	Poco Rii
1020	Kota Ndora
1021	Rana Loba
2025	Balus Permai
2031	Waling
2032	Golo Leda
2034	Compang Tenda
2035	Bangka Kantar
2038	Compang Ndejing
1039	Satar Peot
:02	Poco Ranaka
2001	Poco Lia
2002	Pocong
2003	Lenang
2004	Melo
2005	Leong
2011	Bea Waek
2013	Golo Lobos
2014	Bangka Kuleng
2015	Bangka Pau
2016	Golo Nderu
2017	Satar Tesem
2018	Gurung Turi
2019	Compang Laho
2020	Watu Lanur
2026	Golo Ndari
1027	Mandosawu
1028	Nggalak Leleng
2029	Compang Wesang
2030	Golo Wune
2031	Lento
2032	Compang Weluk
2033	Golo Rengket
2037	Deno
1042	Bangka Leleng
:03	Lamba Leda
2001	Tengku Leda
2002	Tengku Lawar
2003	Goreng Meni
2004	Golo Munga
2005	Nampar Tabang
2006	Satar Punda
2007	Golo Mangung
2008	Satar Padut
2009	Golo Rentung
2010	Golo Lembur
2011	Compang Necak
2012	Lencur
2013	Compang Mekar
2014	Compang Deru
2015	Liang Deruk
2016	Golo Nimbung
2017	Keli
2018	Satar Kampas
2019	Haju Wangi
2020	Golo Munga Barat
2021	Goreng Meni Utara
2022	Golo Wontong
2023	Golo Paleng
2024	Satar Punda Barat
:04	Sambi Rampas
2001	Nanga Baur
2002	Nanga Mbaling
2003	Buti
2004	Golo Ngawan
2005	Satar Nawang
2006	Rana Mese
2007	Lada Mese
2008	Compang Congkar
1009	Pota
1010	Golo Wangkung
1011	Nanga Baras
2012	Nampar Sepang
2013	Kembang Mekar
2014	Wela Lada
2015	Golo Pari
2016	Compang Lawi
2017	Wea
1018	Ulung Baras
1019	Golo Wangkung Barat
1020	Golo Wangkung Utara
:05	Elar
2001	Lengko Namut
2002	Rana Kulan
2003	Golo Munde
2004	Golo Lebo
2005	Golo Lijun
2009	Sisir
2015	Haju Ngendong
2016	Legur Lai
2017	Rana Gapang
2018	Biting
1020	Tiwu Kondo
2025	Compang Soba
2026	Compang Teo
2028	Kaju Wangi
2029	Wae Lokom
:06	Kota Komba
1001	Watu Nggene
1002	Rongga Koe
2003	Lembur
2004	Ruan
2005	Golo Tolang
2006	Mbengan
2007	Rana Kolong
2008	Gunung
2009	Mokel
2010	Golo Meni
2011	Rana Mbeling
2012	Golo Nderu
2013	Komba
2014	Bamo
2015	Pong Ruan
2016	Paan Leleng
1017	Tanah Rata
2018	Rana Mbata
2019	Mokel Morid
2020	Pari
2021	Golo Ndele
2022	Gunung Baru
:07	Rana Mese
2001	Bea Ngencung
2002	Satar Lahing
2003	Torok Golo
2004	Golo Ros
2005	Rondo Woing
2006	Sano Lokom
2007	Golo Loni
2008	Sita
2009	Golo Rutuk
2010	Golo Meleng
2011	Wae Nggori
2012	Compang Kantar
2013	Watu Mori
2014	Bangka Kempo
2015	Compang Teber
2016	Satar Lenda
2017	Lidi
2018	Bangka Masa
2019	Lalang
2020	Compang Loni
2021	Compang Kempo
:08	Poco Ranaka Timur
2001	Watu Arus
2002	Arus
2003	Golo Lero
2004	Rengkam
2005	Compang Wunis
2006	Benteng Rampas
2007	Ngkiong Dora
2008	Ulu Wae
2009	Rende Nao
2010	Wangkar Weli
2011	Tango Molas
2012	Urung Dora
2013	Compang Raci
2014	Wejang Mawe
2015	Bangka Arus
2016	Colol
2017	Benteng Wunis
2018	Wejang Mali
:09	Elar Selatan
1001	Lempang Paji
2002	Sangan Kalo
2003	Sipi
2004	Gising
2005	Langga Sai
2006	Teno Mese
2007	Golo Wuas
2008	Nanga Meje
2009	Paan Waru
2010	Golo Linus
2011	Benteng Pau
2012	Wae Rasan
2013	Mosi Ngaran
2014	Nanga Puun
.20	Sabu Raijua
:01	Sabu Barat
1001	Mebba
2002	Menia
2003	Raeloro
2004	Naawawi
2005	Teriwu
2006	Raenalulu
2007	Raedewa
2008	Ledeana
2009	Depe
2010	Raemude
2011	Raekore
2012	Raenyale
2013	Raemadia
2014	Delo
2015	Roboaba
2016	Djadu
2017	Ledekepaka
2018	Titinalede
:02	Sabu Tengah
2001	Bebae
2002	Tada
2003	Matei
2004	Loboaju
2005	Eimadake
2006	Jiwuwu
2007	Eilode
2008	Eimau
:03	Sabu Timur
1001	Bolou
1002	Limaggu
2003	Lobodei
2004	Bodae
2005	Keduru
2006	Kuji Ratu
2007	Loborai
2008	Huwaga
2009	Eiada
2010	Keliha
:04	Sabu Liae
2001	Raerobo
2002	Mehona
2003	Waduwalla
2004	Ledeke
2005	Eilogo
2006	Deme
2007	Kotahawu
2008	Dainao
2009	Eikare
2010	Loborui
2011	Halla Paji
2012	Ledetalo
:05	Hawu Mehara
2001	Lobohede
2002	Molie
2003	Daieko
2004	Pedarro
2005	Tanajawa
2006	Ledeae
2007	Wadumaddi
2008	Lederaga
2009	Gurimonearu
2010	Ramedue
:06	Raijua
1001	Ledeke
1002	Ledeunu
2003	Bolua
2004	Kolorae
2005	Ballu
.21	Malaka
:01	Malaka Tengah
2001	Barene
2002	Kakaniuk
2003	Kateri
2004	Bakiruk
2005	Kamanasa
2006	Wehali
2007	Umakatahan
2008	Umanen Lawalu
2009	Kletek
2010	Naimana
2011	Fahiluka
2012	Lawalu
2013	Harekakae
2014	Barada
2015	Bereliku
2016	Railor Tahak
2017	Suai
:02	Malaka Barat
2001	Motaulun
2002	Sikun
2003	Fafoe
2004	Lasaen
2005	Umatoos
2006	Rabasahain
2007	Umalor
2008	Besikama
2009	Maktihan
2010	Loofoun
2011	Rabasa
2012	Rabasa Haerain
2013	Motaain
2014	Oan Mane
2015	Raimataus
2016	Naas
:03	Wewiku
2001	Halibasar
2002	Weulun
2003	Webriamata
2004	Badarai
2005	Weoe
2006	Lorotolus
2007	Seserai
2008	Alkani
2009	Lamea
2010	Rabasa Biris
2011	Biris
2012	Weseben
:04	Weliman
2001	Wesey
2002	Haitimuk
2003	Laleten
2004	Kleseleon
2005	Angkaes
2006	Wederok
2007	Lamudur
2008	Forekmodok
2009	Umalawain
2010	Lakulo
2011	Leunklot
2012	Haliklaran
2013	Bonetasea
2014	Taaba
:05	Rinhat
2001	Saenama
2002	Wekmidar
2003	Lotas
2004	Nanin
2005	Alala
2006	Oekmurak
2007	Webetun
2008	Naet
2009	Biudukfoho
2010	Niti
2011	Tafuli
2012	Boen
2013	Wekeke
2014	Raisamane
2015	Weain
2016	Nabutaek
2017	Tafuli I
2018	Nanebot
2019	Muke
2020	Naiusu
:06	Io Kufeu
2001	Biau
2002	Kufeu
2003	Tunmat
2004	Tunabesi
2005	Bani-Bani
2006	Fatoin
2007	Ikan Tuanbeis
:07	Sasitamean
2001	As Manulea
2002	Manulea
2003	Naibone
2004	Fatuaruin
2005	Builaran
2006	Manumutin Silole
2007	Umutnana
2008	Beaneno
2009	Naisau
:08	Laenmanen
2001	Meotroi
2002	Tesa
2003	Kapitan Meo
2004	Tniumanu
2005	Uabau
2006	Boni Bais
2007	Nauke Kusa
2008	Bisesmus
2009	Oenaek
:09	Malaka Timur
2001	Raiulun
2002	Wemeda
2003	Kusa
2004	Numponi
2005	Dirma
2006	Sanleo
:10	Kobalima Timur
2001	Alas Utara
2002	Kotabiru
2003	Alas
2004	Alas Selatan
:11	Kobalima
2001	Babulu
2002	Babulu Selatan
2003	Sisi
2004	Rainawe
2005	Litamali
2006	Lakekun Utara
2007	Lakekun
2008	Lakekun Barat
:12	Botin Leobele
2001	Babotin
2002	Kereana
2003	Babotin Maemina
2004	Babotin Selatan
2005	Takarai
.71	Kupang
:01	Alak
1001	Namosain
1002	Nunbaun Sabu
1003	Nunbaun Delha
1004	Nunhila
1005	Fatufeto
1006	Manutapen
1007	Mantasi
1008	Alak
1009	Batu Plat
1010	Manulai II
1011	Naioni
1012	Penkase Oeleta
:02	Maulafa
1001	Oepura
1002	Maulafa
1003	Penfui
1004	Naimata
1005	Bello
1006	Fatukoa
1007	Kolhua
1008	Sikumana
1009	Naikolan
:03	Kelapa Lima
1001	Kelapa Lima
1010	Oesapa
1011	Lasiana
1014	Oesapa Barat
1015	Oesapa Selatan
:04	Oebobo
1001	Oebobo
1008	Oetete
1009	Oebufu
1010	Liliba
1011	Fatululi
1013	Kayu Putih
1014	Tuak Daun Merah
:05	Kota Raja
1001	Bakunase
1002	Bakunase Dua
1003	Airnona
1004	Naikoten Satu
1005	Naikoten Dua
1006	Kuanino
1007	Nunleu
1008	Fontein
:06	Kota Lama
1001	Airmata
1002	Lai Lai Bisi Kopan
1003	Bonipoi
1004	Solor
1005	Tode Kisar
1006	Merdeka
1007	Oeba
1008	Fatubesi
1009	Pasir Panjang
1010	Nefonaek
