53	Nusa Tenggara Timur
:04	Alor Selatan
1001	Kelaisi Timur
2002	Kelaisi Barat
2003	Sidabui
2004	Padang Alang
2005	Kuneman
2006	Silaipui
2007	Kelaisi Tengah
2008	Kiraman
2009	Maikang
2010	Malaipea
2011	Tamanapui
2012	Lella
2013	Manmas
2014	Subo
:05	Alor Timur
1001	Kolana Utara
2004	Tanglapui
2005	Kolana Selatan
2007	Padang Panjang
2008	Maritaing
2010	Elok
2011	Tanglapui Timur
2012	Mausamang
2013	Belemana
2014	Maukuru
:06	Pantar
1001	Kabir
2005	Pandai
2009	Bandar
2010	Baolang
2011	Munaseli
2012	Helangdohi
2013	Wailawar
2014	Bana
2016	Bouweli
2017	Bukit Mas
2019	Madar
:07	Alor Tengah Utara
2001	Lembur Barat
2002	Lembur Tengah
2004	Likwatang
2007	Fungafeng
2008	Fuisama
2009	Nur Benlelang
2010	Kafakbeka
2011	Manetwati
2012	Lakwati
2014	Dapitau
2017	Alim Mebung
2018	Petleng
2019	Welai Selatan
2020	Tominuku
:08	Alor Timur Laut
2001	Pido
2002	Waisika
2003	Kamot
2004	Taramana
2005	Nailang
2006	Lippang
2007	Kenarimbala
2008	Air Mancur
:09	Pantar Barat
2002	Baraler
2003	Kalondama
2007	Leer
2018	Baranusa
2019	Blang Merang
2020	Illu
2024	Piringsina
:10	Kabola
1001	Kabola
2002	Kopidil
2003	Pante Deere
2004	Lawahing
2005	Alila Timur
:11	Pulau Pura
1001	Pura
2002	Maru
2003	Pura Utara
2004	Pura Selatan
2005	Pura Timur
2006	Pura Barat
:12	Mataru
2001	Mataru Selatan
2002	Mataru Utara
2003	Lakatuli
2004	Mataru Timur
2005	Kamaifui
2006	Mataru Barat
2007	Taman Mataru
:13	Pureman
2001	Langkuru
2002	Purnama
2003	Kailesa
2004	Langkuru Utara
:14	Pantar Timur
2001	Nule
2002	Kaleb
2003	Batu
2004	Kaera
2005	Mawar
2006	Merdeka
2007	Ombay
2008	Lekom
2009	Bungabali
2010	Tereweng
2011	Lalafang
:15	Lembur
2001	Lembur Timur
2002	Luba
2003	Talwai
2004	Tulleng
2005	Waimi
2006	Tasi
:16	Pantar Tengah
2001	Tude
2002	Mauta
2003	Muriabang
2004	Tubbe
2005	Tamakh
2006	Bagang
2007	Toang
2008	Eka Jaya
2009	Aramaba
2010	Delaki
