2001	Sungai Patai
2002	Andaleh Baruh Bukik
2003	Tanjung
2004	Sungayang
2005	Minang Kabau
:08	Sungai Tarab
2001	Simpuruik
2002	Sungai Tarab
2003	Gurun
2004	Talang Tangah
2005	Padang Laweh
2006	Pasie Laweh
2007	Koto Tuo
2008	Rao Rao
2009	Kumango
2010	Koto Baru
:09	Pariangan
2001	Batu Basa
2002	Tabek
2003	Sawah Tangah
2004	Simabur
2005	Pariangan
2006	Sungai Jambu
:10	Salimpaung
2001	Sumanik
2002	Situmbuk
2003	Lawang Mandahiling
2004	Supayang
2005	Salimpaung
2006	Tabek Patah
:11	Padang Ganting
2001	Atar
2002	Padang Ganting
:12	Tanjuang Baru
2001	Tanjuang Alam
2002	Barulak
:13	Lintau Buo Utara
2001	Batu Bulek
2002	Balai Tangah
2003	Tanjuang Bonai
2004	Lubuak Jantan
2005	Tapi Selo
:14	Batipuah Selatan
2001	Batu Taba
2002	Sumpur
2003	Padang Laweh Malalo
2004	Guguak Malalo
.05	Padang Pariaman
:01	Lubuk Alung
2001	Lubuk Alung
2002	Pungguang Kasiak Lubuk Alung
2003	Pasie Laweh Lubuk Alung
2004	Aie Tajun Lubuk Alung
2005	Sikabu Lubuk Alung
2006	Sungai Abang Lubuk Alung
2007	Singguliang Lubuk Alung
2008	Salibutan Lubuk Alung
2009	Nagari Balah Hilia Lubuk Alung
:02	Batang Anai
2001	Katapiang
2002	Kasang
2003	Sungai Buluah
2004	Buayan Lubuk Alung
2005	Sungai Buluah Timur
2006	Sungai Buluah Barat
2007	Sungai Buluah Utara
2008	Sungai Buluah Selatan
:03	Nan Sabaris
2001	Kapalo Koto
2002	Pauh Kambar
2003	Padang Bintungan
2004	Kurai Taji
2005	Sunua
2006	Padang Kandang Pulau Air Padang
2007	Sunua Tengah
2008	Sunua Barat
2009	Kurai Taji Timur
:04	2 x 11 Enam Lingkuang
2002	Sicincin
2003	Lubuk Pandan
2004	Sungai Asam
:05	VII Koto Sungai Sarik
2001	Balah Aie
2002	Sungai Sariak
2003	Lurah Ampalu
2004	Lareh Nan Panjang
2005	Lareh Nan Panjang Selatan
2006	Lareh Nan Panjang Barat
2007	Bisati Sungai Sariak
2008	Ambuang Kapua Sungai Sariak
2009	Lareh Nan Panjang Sungai Sariak
2010	Limpato Sungai Sariak
2011	Balah Aie Utara
2012	Balah Aie Timur
:06	V Koto Kampung Dalam
2001	Campago
2002	Sikucua
2003	Campago Barat
2004	Campago Selatan
2005	Sikucua Utara
2006	Sikucua Timur
2007	Sikucua Tengah
2008	Sikucua Barat
:07	Sungai Garingging
2001	Kuranji Hulu
2002	Malai III Koto
2003	Batu Gadang Kuranji Hulu
2004	Sungai Sirah Kuranji Hulu
:08	Sungai Limau
2001	Kuranji Hilir
2002	Pilubang
2003	Guguak Kuranji Hilir
2004	Koto Tinggi Kuranji Hilir
:09	IV Koto Aur Malintang
2001	III Koto Aur Malintang
2002	III Koto Aur Malintang Utara
2003	III Koto Aur Malintang Timur
2004	III Koto Aur Malintang Selatan
2005	Balai Baiak Malai III Koto
:10	Ulakan Tapakih
